id,capitolo_ministeriale,numero_quiz_ministeriale,numero_domanda_ministeriale,id_paragrafo,numero_quiz,numero_domanda,testo_domanda_it,risposta_domanda,figura,parte,testo_domanda_fr,testo_domanda_de,audio_it,audio_fr,audio_de
1,1,11,2,1,1.1,1,Nelle aree pedonali possono transitare i pedoni,V,,,"Dans les aires piétonnes, les piétons peuvent circuler",In den Fußgängerzonen dürfen Fußgänger verkehren,it_IT_01010_10110.mp3,fr_FR_01010_10110.mp3,de_DE_01010_10110.mp3
2,1,11,5,1,1.1,2,"Nelle aree pedonali possono transitare i veicoli della polizia, con sirena e luce lampeggiante blu in funzione",V,,,"Dans les aires piétonnes, les véhicules de la police, avec avertisseurs sonores et lumières bleues en fonction, peuvent circuler","In den Fußgängerzonen dürfen Fahrzeuge im Polizeieinsatz verkehren, mit Blaulicht und Warnsignal",it_IT_01010_10113.mp3,fr_FR_01010_10113.mp3,de_DE_01010_10113.mp3
3,1,11,6,1,1.1,3,"Nelle aree pedonali possono transitare gli autoveicoli dei vigili del fuoco, con luce lampeggiante blu e sirena in funzione",V,,,"Dans les aires piétonnes les véhicules des sapeurs pompiers, avec lumières bleues et avertisseurs sonores en fonction, peuvent circuler","In den Fußgängerzonen dürfen Kraftwagen der Feuerwehr verkehren, mit Blaulicht und Warnsignal",it_IT_01010_10114.mp3,fr_FR_01010_10114.mp3,de_DE_01010_10114.mp3
4,1,11,3,1,1.1,4,Nelle aree pedonali possono transitare le biciclette,V,,,"Dans les aires piétonnes, les vélos peuvent circuler",In den Fußgängerzonen dürfen Fahrräder verkehren,it_IT_01010_10111.mp3,fr_FR_01010_10111.mp3,de_DE_01010_10111.mp3
5,1,11,4,1,1.1,5,Nelle aree pedonali possono transitare i veicoli al servizio di persone diversamente abili,V,,,"Dans les aires piétonnes, les véhicules réservés aux personnes handicapées peuvent circuler",In den Fußgängerzonen dürfen Fahrzeuge im Dienste von Menschen mit Behinderung verkehren,it_IT_01010_10112.mp3,fr_FR_01010_10112.mp3,de_DE_01010_10112.mp3
6,1,11,1,1,1.1,6,"Nelle aree pedonali possono transitare i veicoli ad emissione zero (elettrici), se espressamente consentito",V,,,"Dans les aires piétonnes seuls les véhicules électriques, si expressément indiqué, peuvent circuler","In den Fußgängerzonen dürfen emissionsfreie Fahrzeuge (Elektrofahrzeuge) verkehren, falls dies ausdrücklich erlaubt ist",it_IT_01010_10109.mp3,fr_FR_01010_10109.mp3,de_DE_01010_10109.mp3
7,1,11,7,1,1.1,7,"Nelle aree pedonali possono transitare tutti i motocicli, purché diano la precedenza ai pedoni",F,,,"Dans les aires piétonnes tous les motocycles peuvent circuler, à condition qu'ils donnent la priorité aux piétons","In den Fußgängerzonen dürfen alle Krafträder verkehren, sofern sie den Fußgängern den Vortritt gewähren",it_IT_01010_10115.mp3,fr_FR_01010_10115.mp3,de_DE_01010_10115.mp3
8,1,11,8,1,1.1,8,"Nelle aree pedonali possono transitare i trattori stradali, con velocità non superiore a 30 km/h",F,,,Dans les aires piétonnes les véhicules tracteurs à vitesse maximale de 30 km/h peuvent circuler,In den Fußgängerzonen dürfen Sattelzugmaschinen mit einer Geschwindigkeit von höchstens 30 km/h verkehren,it_IT_01010_10116.mp3,fr_FR_01010_10116.mp3,de_DE_01010_10116.mp3
9,1,11,9,1,1.1,9,Nelle aree pedonali i ciclomotori possono transitare solo di giorno,F,,,"Dans les aires piétonnes, les motocycles peuvent circuler uniquement pendant le jour",In den Fußgängerzonen dürfen Kleinkrafträder nur bei Tag verkehren,it_IT_01010_10117.mp3,fr_FR_01010_10117.mp3,de_DE_01010_10117.mp3
10,1,11,10,1,1.1,10,"Nelle aree pedonali possono transitare tutti gli autoveicoli, ma con prudenza",F,,,"Dans les aires piétonnes, tous les véhicules peuvent circuler, mais avec prudence","In den Fußgängerzonen dürfen alle Kraftwagen verkehren, aber nur mit vorsichtiger Fahrweise",it_IT_01010_10118.mp3,fr_FR_01010_10118.mp3,de_DE_01010_10118.mp3
11,1,11,11,1,1.1,11,"Nelle aree pedonali possono transitare i quadricicli a motore, purché non superino la velocità di 50 km/h",F,,,"Dans les aires piétonnes, les motocycles à moteur peuvent circuler, à condition qu'ils ne dépassent pas la vitesse de 50 km/h","In den Fußgängerzonen dürfen vierrädrige Leichtmotorfahrzeuge verkehren, sofern sie die Geschwindigkeit von 50 km/h nicht überschreiten",it_IT_01010_10119.mp3,fr_FR_01010_10119.mp3,de_DE_01010_10119.mp3
12,1,4,4,1,1.2,1,L'attraversamento pedonale è una parte della carreggiata destinata al transito dei pedoni che attraversano,V,,,Le passage pour piétons est une partie de la chaussée réservée à l'engagement des piétons qui la traversent,Der Fußgängerübergang ist ein für den Durchgang der überquerenden Fußgänger bestimmter Fahrbahnteil,it_IT_01003_10029.mp3,fr_FR_01003_10029.mp3,de_DE_01003_10029.mp3
13,1,4,1,1,1.2,2,L'attraversamento pedonale viene segnalato con strisce bianche parallele,V,,,Le passage pour piétons est matérialisé par de larges bandes blanches parallèles,Der Fußgängerübergang wird durch weiße parallele Streifen angezeigt,it_IT_01003_10026.mp3,fr_FR_01003_10026.mp3,de_DE_01003_10026.mp3
14,1,4,3,1,1.2,3,"L'attraversamento pedonale è una parte della carreggiata, in cui i veicoli devono dare la precedenza ai pedoni, che attraversano sulle apposite strisce",V,,,Le passage pour piétons est une partie de la chaussée où les véhicules doivent céder le passage aux piétons engagés qui traversent sur les lignes,"Der Fußgängerübergang ist ein Fahrbahnteil, auf welchem die Fahrzeuge den Fußgängern, die auf den eigens vorgesehenen Streifen überqueren, den Vortritt gewähren müssen",it_IT_01003_10028.mp3,fr_FR_01003_10028.mp3,de_DE_01003_10028.mp3
15,1,4,2,1,1.2,4,L’attraversamento pedonale è una parte della carreggiata sulla quale è vietata la fermata dei veicoli,V,,,Le passage pour piétons est une partie de la chaussée sur laquelle l'arrêt des véhicules est interdit,"Der Fußgängerübergang ist ein Fahrbahnteil, auf welchem das Halten der Fahrzeuge verboten ist",it_IT_01003_10027.mp3,fr_FR_01003_10027.mp3,de_DE_01003_10027.mp3
16,1,4,5,1,1.2,5,L’attraversamento pedonale è una parte della carreggiata sulla quale è vietata la sosta dei veicoli,V,,,Le passage pour piétons est une partie de la chaussée sur laquelle l'arrêt des véhicules est interdit,"Der Fußgängerübergang ist ein Fahrbahnteil, auf welchem das Parken der Fahrzeuge verboten ist",it_IT_01003_10030.mp3,fr_FR_01003_10030.mp3,de_DE_01003_10030.mp3
